author,paper_id,year,venue
Zewu Zheng,8,2026,"Not specified (arXiv:2511.07831v1 [stat.ML], 11 Nov 2025; copyright notice ""Copyright © 2026"")"
Yuanyuan Lin,8,2026,"Not specified (arXiv:2511.07831v1 [stat.ML], 11 Nov 2025; copyright notice ""Copyright © 2026"")"
Zachary Roch,9,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR)"
Yue Wang,9,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR)"
Muhammad Aneeq uz Zaman,10,2024,"Proceedings of Machine Learning Research vol 242 (6th Annual Conference on Learning for Dynamics and Control, L4DC) 2024"
Mathieu Laurière,10,2024,"Proceedings of Machine Learning Research vol 242 (6th Annual Conference on Learning for Dynamics and Control, L4DC) 2024"
Alec Koppel,10,2024,"Proceedings of Machine Learning Research vol 242 (6th Annual Conference on Learning for Dynamics and Control, L4DC) 2024"
Tamer Başar,10,2024,"Proceedings of Machine Learning Research vol 242 (6th Annual Conference on Learning for Dynamics and Control, L4DC) 2024"
Eric Mazumdar,11,2024,"Not specified (arXiv preprint, August 2024)"
Kishan Panaganti,11,2024,"Not specified (arXiv preprint, August 2024)"
Laixi Shi,11,2024,"Not specified (arXiv preprint, August 2024)"
Eric Mazumdar,12,2025,ICLR 2025
Kishan Panaganti,12,2025,ICLR 2025
Laixi Shi,12,2025,ICLR 2025
Yizhou Zhang,13,2026,"Preprint (arXiv:2602.12386v2 [cs.MA], 29 May 2026); dated ""Preprint. June 1, 2026."""
Eric Mazumdar,13,2026,"Preprint (arXiv:2602.12386v2 [cs.MA], 29 May 2026); dated ""Preprint. June 1, 2026."""
Bhavini Jeloka,14,2026,"Not specified (arXiv preprint, 2026)"
Yue Guan,14,2026,"Not specified (arXiv preprint, 2026)"
Panagiotis Tsiotras,14,2026,"Not specified (arXiv preprint, 2026)"
Gang Chen,15,2023,"Preprint submitted to Journal of Parallel and Distributed Computing, 2023 (not peer reviewed; SSRN preprint)"
Changli Pu,15,2023,"Preprint submitted to Journal of Parallel and Distributed Computing, 2023 (not peer reviewed; SSRN preprint)"
Yaoyao Zhou,15,2023,"Preprint submitted to Journal of Parallel and Distributed Computing, 2023 (not peer reviewed; SSRN preprint)"
Aakriti Agrawal,16,2023,Pre-print (Under Review); arXiv 2023
Rohith Aralikatti,16,2023,Pre-print (Under Review); arXiv 2023
Yanchao Sun,16,2023,Pre-print (Under Review); arXiv 2023
Furong Huang,16,2023,Pre-print (Under Review); arXiv 2023
Zhongyi Li,17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])"
Wan Tian,17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])"
Jingyu Chen,17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])"
Kangyao Huang,17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])"
Huiming Zhang,17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])"
Hui Yang,17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])"
Tao Ren,17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])"
Jinyang Jiang,17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])"
Yijie Peng,17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])"
Yikun Ban,17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])"
Fuzhen Zhuang,17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])"
Ali Kahe,18,2026,"Not specified (arXiv:2410.15335v2 [eess.SY], 7 May 2026)"
Hamed Kebriaei,18,2026,"Not specified (arXiv:2410.15335v2 [eess.SY], 7 May 2026)"
Younkyung Jwa,19,2023,2023 62nd IEEE Conference on Decision and Control (CDC)
Minseon Gwak,19,2023,2023 62nd IEEE Conference on Decision and Control (CDC)
Jiin Kwak,19,2023,2023 62nd IEEE Conference on Decision and Control (CDC)
Chang Wook Ahn,19,2023,2023 62nd IEEE Conference on Decision and Control (CDC)
PooGyeon Park,19,2023,2023 62nd IEEE Conference on Decision and Control (CDC)
Yudan Wang,20,2022,IEEE International Workshop on Machine Learning for Signal Processing (MLSP) 2022
Yue Wang,20,2022,IEEE International Workshop on Machine Learning for Signal Processing (MLSP) 2022
Yi Zhou,20,2022,IEEE International Workshop on Machine Learning for Signal Processing (MLSP) 2022
Alvaro Velasquez,20,2022,IEEE International Workshop on Machine Learning for Signal Processing (MLSP) 2022
Shaofeng Zou,20,2022,IEEE International Workshop on Machine Learning for Signal Processing (MLSP) 2022
Gen Li,21,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems)
Yuejie Chi,21,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems)
Yuting Wei,21,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems)
Yuxin Chen,21,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems)
Aritra Mitra,22,2024,"AAAI Spring Symposium Series (SSS-24), 2024"
Anonymous authors,24,2021,Under review as a conference paper at ICLR 2021
Jackson A. Killian,25,2022,"UAI 2022 (Proceedings of the 38th Conference on Uncertainty in Artificial Intelligence, PMLR 180:990–1000)"
Lily Xu,25,2022,"UAI 2022 (Proceedings of the 38th Conference on Uncertainty in Artificial Intelligence, PMLR 180:990–1000)"
Arpita Biswas,25,2022,"UAI 2022 (Proceedings of the 38th Conference on Uncertainty in Artificial Intelligence, PMLR 180:990–1000)"
Milind Tambe,25,2022,"UAI 2022 (Proceedings of the 38th Conference on Uncertainty in Artificial Intelligence, PMLR 180:990–1000)"
Alexander Peysakhovich,26,2019,NeurIPS 2019
Christian Kroer,26,2019,NeurIPS 2019
Adam Lerer,26,2019,NeurIPS 2019
Ashish Rana,27,2024,"AAMAS 2024 (Extended Abstract, 23rd International Conference on Autonomous Agents and Multi-Agent Systems)"
Michael Oesterle,27,2024,"AAMAS 2024 (Extended Abstract, 23rd International Conference on Autonomous Agents and Multi-Agent Systems)"
Jannik Brinkmann,27,2024,"AAMAS 2024 (Extended Abstract, 23rd International Conference on Autonomous Agents and Multi-Agent Systems)"
Sihong He,28,2023,Transactions on Machine Learning Research (TMLR) 2023
Songyang Han,28,2023,Transactions on Machine Learning Research (TMLR) 2023
Sanbao Su,28,2023,Transactions on Machine Learning Research (TMLR) 2023
Shuo Han,28,2023,Transactions on Machine Learning Research (TMLR) 2023
Shaofeng Zou,28,2023,Transactions on Machine Learning Research (TMLR) 2023
Fei Miao,28,2023,Transactions on Machine Learning Research (TMLR) 2023
Songyang Han,29,2024,Transactions on Machine Learning Research (TMLR) 2024
Sanbao Su,29,2024,Transactions on Machine Learning Research (TMLR) 2024
Sihong He,29,2024,Transactions on Machine Learning Research (TMLR) 2024
Shuo Han,29,2024,Transactions on Machine Learning Research (TMLR) 2024
Haizhao Yang,29,2024,Transactions on Machine Learning Research (TMLR) 2024
Shaofeng Zou,29,2024,Transactions on Machine Learning Research (TMLR) 2024
Fei Miao,29,2024,Transactions on Machine Learning Research (TMLR) 2024
Alexander Bukharin,30,2023,NeurIPS 2023
Yan Li,30,2023,NeurIPS 2023
Yue Yu,30,2023,NeurIPS 2023
Qingru Zhang,30,2023,NeurIPS 2023
Zhehui Chen,30,2023,NeurIPS 2023
Simiao Zuo,30,2023,NeurIPS 2023
Chao Zhang,30,2023,NeurIPS 2023
Songan Zhang,30,2023,NeurIPS 2023
Tuo Zhao,30,2023,NeurIPS 2023
Simin Li,31,2025,"IEEE Transactions on Neural Networks and Learning Systems (TNNLS), Vol. 36, No. 10, October 2025"
Ruixiao Xu,31,2025,"IEEE Transactions on Neural Networks and Learning Systems (TNNLS), Vol. 36, No. 10, October 2025"
Jingqiao Xiu,31,2025,"IEEE Transactions on Neural Networks and Learning Systems (TNNLS), Vol. 36, No. 10, October 2025"
Yuwei Zheng,31,2025,"IEEE Transactions on Neural Networks and Learning Systems (TNNLS), Vol. 36, No. 10, October 2025"
Pu Feng,31,2025,"IEEE Transactions on Neural Networks and Learning Systems (TNNLS), Vol. 36, No. 10, October 2025"
Yuqing Ma,31,2025,"IEEE Transactions on Neural Networks and Learning Systems (TNNLS), Vol. 36, No. 10, October 2025"
Bo An,31,2025,"IEEE Transactions on Neural Networks and Learning Systems (TNNLS), Vol. 36, No. 10, October 2025"
Yaodong Yang,31,2025,"IEEE Transactions on Neural Networks and Learning Systems (TNNLS), Vol. 36, No. 10, October 2025"
Xianglong Liu,31,2025,"IEEE Transactions on Neural Networks and Learning Systems (TNNLS), Vol. 36, No. 10, October 2025"
Weiran Guo,32,2023,"Not specified (arXiv:2307.00907v1 [cs.LG], 3 Jul 2023)"
Guanjun Liu,32,2023,"Not specified (arXiv:2307.00907v1 [cs.LG], 3 Jul 2023)"
Ziyuan Zhou,32,2023,"Not specified (arXiv:2307.00907v1 [cs.LG], 3 Jul 2023)"
Ling Wang,32,2023,"Not specified (arXiv:2307.00907v1 [cs.LG], 3 Jul 2023)"
Jiacun Wang,32,2023,"Not specified (arXiv:2307.00907v1 [cs.LG], 3 Jul 2023)"
Weiran Guo,33,2025,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 55, No. 7, July 2025"
Guanjun Liu,33,2025,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 55, No. 7, July 2025"
Ziyuan Zhou,33,2025,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 55, No. 7, July 2025"
Jiacun Wang,33,2025,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 55, No. 7, July 2025"
Ying Tang,33,2025,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 55, No. 7, July 2025"
Miaomiao Wang,33,2025,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 55, No. 7, July 2025"
Ziyuan Zhou,34,2023,"Not specified (preprint arXiv:2205.07229v2, 2023; an expanded version was published in IEEE Transactions on Neural Networks and Learning Systems, DOI 10.1109/TNNLS.2023.3278715)"
Guanjun Liu,34,2023,"Not specified (preprint arXiv:2205.07229v2, 2023; an expanded version was published in IEEE Transactions on Neural Networks and Learning Systems, DOI 10.1109/TNNLS.2023.3278715)"
Yuchen Shi,35,2025,"Not specified (arXiv preprint; arXiv:2511.23193v1 [cs.RO], 28 Nov 2025)"
Huaxin Pei,35,2025,"Not specified (arXiv preprint; arXiv:2511.23193v1 [cs.RO], 28 Nov 2025)"
Yi Zhang,35,2025,"Not specified (arXiv preprint; arXiv:2511.23193v1 [cs.RO], 28 Nov 2025)"
Danya Yao,35,2025,"Not specified (arXiv preprint; arXiv:2511.23193v1 [cs.RO], 28 Nov 2025)"
Songchen Fu,37,2025,NeurIPS 2025
Siang Chen,37,2025,NeurIPS 2025
Shaojing Zhao,37,2025,NeurIPS 2025
Letian Bai,37,2025,NeurIPS 2025
Hong Liang,37,2025,NeurIPS 2025
Ta Li,37,2025,NeurIPS 2025
Yonghong Yan,37,2025,NeurIPS 2025
Somnath Hazra,38,2025,AAMAS 2025 (24th International Conference on Autonomous Agents and Multiagent Systems)
Pallab Dasgupta,38,2025,AAMAS 2025 (24th International Conference on Autonomous Agents and Multiagent Systems)
Soumyajit Dey,38,2025,AAMAS 2025 (24th International Conference on Autonomous Agents and Multiagent Systems)
Yuchen Xiao,39,2021,"2021 International Symposium on Multi-Robot and Multi-Agent Systems (MRS), IEEE (DOI: 10.1109/MRS50823.2021.9620607)"
Xueguang Lyu,39,2021,"2021 International Symposium on Multi-Robot and Multi-Agent Systems (MRS), IEEE (DOI: 10.1109/MRS50823.2021.9620607)"
Christopher Amato,39,2021,"2021 International Symposium on Multi-Robot and Multi-Agent Systems (MRS), IEEE (DOI: 10.1109/MRS50823.2021.9620607)"
Wenshuai Zhao,40,2025,"Not specified (arXiv preprint, arXiv:2309.14792v4, 31 Jul 2025)"
Eetu-Aleksi Rantala,40,2025,"Not specified (arXiv preprint, arXiv:2309.14792v4, 31 Jul 2025)"
Sahar Salimpour,40,2025,"Not specified (arXiv preprint, arXiv:2309.14792v4, 31 Jul 2025)"
Zhiyuan Li,40,2025,"Not specified (arXiv preprint, arXiv:2309.14792v4, 31 Jul 2025)"
Joni Pajarinen,40,2025,"Not specified (arXiv preprint, arXiv:2309.14792v4, 31 Jul 2025)"
Jorge Peña-Queralta,40,2025,"Not specified (arXiv preprint, arXiv:2309.14792v4, 31 Jul 2025)"
Anonymous authors,41,2023,Under review as a conference paper at ICLR 2023
Xu Yang,42,2024,"IEEE Transactions on Smart Grid, Vol. 15, No. 6, November 2024"
Haotian Liu,42,2024,"IEEE Transactions on Smart Grid, Vol. 15, No. 6, November 2024"
Wenchuan Wu,42,2024,"IEEE Transactions on Smart Grid, Vol. 15, No. 6, November 2024"
Shihui Li,43,2019,"AAAI 2019 (The Thirty-Third AAAI Conference on Artificial Intelligence, AAAI-19)"
Yi Wu,43,2019,"AAAI 2019 (The Thirty-Third AAAI Conference on Artificial Intelligence, AAAI-19)"
Xinyue Cui,43,2019,"AAAI 2019 (The Thirty-Third AAAI Conference on Artificial Intelligence, AAAI-19)"
Honghua Dong,43,2019,"AAAI 2019 (The Thirty-Third AAAI Conference on Artificial Intelligence, AAAI-19)"
Fei Fang,43,2019,"AAAI 2019 (The Thirty-Third AAAI Conference on Artificial Intelligence, AAAI-19)"
Stuart Russell,43,2019,"AAAI 2019 (The Thirty-Third AAAI Conference on Artificial Intelligence, AAAI-19)"
Sunwoo Lee,44,2025,"ICML 2025 (Proceedings of the 42nd International Conference on Machine Learning, PMLR 267)"
Jaebak Hwang,44,2025,"ICML 2025 (Proceedings of the 42nd International Conference on Machine Learning, PMLR 267)"
Yonghyeon Jo,44,2025,"ICML 2025 (Proceedings of the 42nd International Conference on Machine Learning, PMLR 267)"
Seungyul Han,44,2025,"ICML 2025 (Proceedings of the 42nd International Conference on Machine Learning, PMLR 267)"
Sunwoo Lee,45,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR 306, 2026)"
Mingu Kang,45,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR 306, 2026)"
Yonghyeon Jo,45,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR 306, 2026)"
Seungyul Han,45,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR 306, 2026)"
Ziyuan Zhou,46,2025,"ICML 2025 (Proceedings of the 42nd International Conference on Machine Learning, PMLR 267)"
Guanjun Liu,46,2025,"ICML 2025 (Proceedings of the 42nd International Conference on Machine Learning, PMLR 267)"
MengChu Zhou,46,2025,"ICML 2025 (Proceedings of the 42nd International Conference on Machine Learning, PMLR 267)"
Weiran Guo,46,2025,"ICML 2025 (Proceedings of the 42nd International Conference on Machine Learning, PMLR 267)"
Ziqing Lu,47,2024,"Not specified (arXiv preprint, arXiv:2401.17405 [cs.MA], 30 Jan 2024)"
Guanlin Liu,47,2024,"Not specified (arXiv preprint, arXiv:2401.17405 [cs.MA], 30 Jan 2024)"
Lifeng Lai,47,2024,"Not specified (arXiv preprint, arXiv:2401.17405 [cs.MA], 30 Jan 2024)"
Weiyu Xu,47,2024,"Not specified (arXiv preprint, arXiv:2401.17405 [cs.MA], 30 Jan 2024)"
Amine Andam,48,2026,"Not specified (arXiv:2508.09275v2 [cs.LG], 21 Jan 2026)"
Jamal Bentahar,48,2026,"Not specified (arXiv:2508.09275v2 [cs.LG], 21 Jan 2026)"
Mustapha Hedabou,48,2026,"Not specified (arXiv:2508.09275v2 [cs.LG], 21 Jan 2026)"
Bang Zhang,49,2025,IEEE ICPADS 2025 (31st International Conference on Parallel and Distributed Systems)
Wenjian Luo,49,2025,IEEE ICPADS 2025 (31st International Conference on Parallel and Distributed Systems)
Kesheng Chen,49,2025,IEEE ICPADS 2025 (31st International Conference on Parallel and Distributed Systems)
Yujiang Liu,49,2025,IEEE ICPADS 2025 (31st International Conference on Parallel and Distributed Systems)
Shuhan Qi,49,2025,IEEE ICPADS 2025 (31st International Conference on Parallel and Distributed Systems)
Xuan Wang,49,2025,IEEE ICPADS 2025 (31st International Conference on Parallel and Distributed Systems)
Maxwell Standen,50,2026,"Not specified (arXiv preprint, arXiv:2605.13170v1 [cs.LG], 13 May 2026)"
Junae Kim,50,2026,"Not specified (arXiv preprint, arXiv:2605.13170v1 [cs.LG], 13 May 2026)"
Claudia Szabo,50,2026,"Not specified (arXiv preprint, arXiv:2605.13170v1 [cs.LG], 13 May 2026)"
Ziyuan Zhou,51,2024,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 54, No. 12, December 2024"
Guanjun Liu,51,2024,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 54, No. 12, December 2024"
Weiran Guo,51,2024,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 54, No. 12, December 2024"
MengChu Zhou,51,2024,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 54, No. 12, December 2024"
Ahmed Alzubaidi,52,2025,"IET Intelligent Transport Systems 2025 (Vol. 19, e70066)"
Ameena S. Al-Sumaiti,52,2025,"IET Intelligent Transport Systems 2025 (Vol. 19, e70066)"
Majid Khonji,52,2025,"IET Intelligent Transport Systems 2025 (Vol. 19, e70066)"
Xiaofeng Zhao,53,,"Not specified (Preprint submitted to Elsevier; not peer reviewed; available at SSRN, abstract 5348784)"
Dengfeng Sun,53,,"Not specified (Preprint submitted to Elsevier; not peer reviewed; available at SSRN, abstract 5348784)"
Young Wu,54,2023,"AAAI 2023 (The Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI-23)"
Jeremy McMahan,54,2023,"AAAI 2023 (The Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI-23)"
Xiaojin Zhu,54,2023,"AAAI 2023 (The Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI-23)"
Qiaomin Xie,54,2023,"AAAI 2023 (The Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI-23)"
Brennen A. Hill,55,2025,NeurIPS 2025 Workshop: Scaling Environments for Agents (SEA)
Isaac Peterson,56,2025,"Not specified (arXiv preprint, 2025)"
Christopher Allred,56,2025,"Not specified (arXiv preprint, 2025)"
Jacob Morrey,56,2025,"Not specified (arXiv preprint, 2025)"
Mario Harper,56,2025,"Not specified (arXiv preprint, 2025)"
Lei Yuan,57,2023,AAAI 2023 (Thirty-Seventh AAAI Conference on Artificial Intelligence)
Ziqian Zhang,57,2023,AAAI 2023 (Thirty-Seventh AAAI Conference on Artificial Intelligence)
Ke Xue,57,2023,AAAI 2023 (Thirty-Seventh AAAI Conference on Artificial Intelligence)
Hao Yin,57,2023,AAAI 2023 (Thirty-Seventh AAAI Conference on Artificial Intelligence)
Feng Chen,57,2023,AAAI 2023 (Thirty-Seventh AAAI Conference on Artificial Intelligence)
Cong Guan,57,2023,AAAI 2023 (Thirty-Seventh AAAI Conference on Artificial Intelligence)
Lihe Li,57,2023,AAAI 2023 (Thirty-Seventh AAAI Conference on Artificial Intelligence)
Chao Qian,57,2023,AAAI 2023 (Thirty-Seventh AAAI Conference on Artificial Intelligence)
Yang Yu,57,2023,AAAI 2023 (Thirty-Seventh AAAI Conference on Artificial Intelligence)
Aizaz Sharif,58,2022,2022 29th Asia-Pacific Software Engineering Conference (APSEC) 2022
Dusica Marijan,58,2022,2022 29th Asia-Pacific Software Engineering Conference (APSEC) 2022
Jieyu Lin,59,2020,2020 IEEE Symposium on Security and Privacy Workshops (SPW) 2020
Kristina Dzeparoska,59,2020,2020 IEEE Symposium on Security and Privacy Workshops (SPW) 2020
Sai Qian Zhang,59,2020,2020 IEEE Symposium on Security and Privacy Workshops (SPW) 2020
Alberto Leon-Garcia,59,2020,2020 IEEE Symposium on Security and Privacy Workshops (SPW) 2020
Nicolas Papernot,59,2020,2020 IEEE Symposium on Security and Privacy Workshops (SPW) 2020
Lebin Yu,60,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence)
Yunbo Qiu,60,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence)
Quanming Yao,60,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence)
Yuan Shen,60,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence)
Xudong Zhang,60,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence)
Jian Wang,60,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence)
Yanchao Sun,61,2023,ICLR 2023
Ruijie Zheng,61,2023,ICLR 2023
Parisa Hassanzadeh,61,2023,ICLR 2023
Yongyuan Liang,61,2023,ICLR 2023
Soheil Feizi,61,2023,ICLR 2023
Sumitra Ganesh,61,2023,ICLR 2023
Furong Huang,61,2023,ICLR 2023
Ronghui Mu,62,2023,"AAAI 2023 (The Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI-23)"
Wenjie Ruan,62,2023,"AAAI 2023 (The Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI-23)"
Leandro Soriano Marcolino,62,2023,"AAAI 2023 (The Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI-23)"
Gaojie Jin,62,2023,"AAAI 2023 (The Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI-23)"
Qiang Ni,62,2023,"AAAI 2023 (The Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI-23)"
Wanqi Xue,63,2022,AAMAS 2022 (Proc. of the 21st International Conference on Autonomous Agents and Multiagent Systems)
Wei Qiu,63,2022,AAMAS 2022 (Proc. of the 21st International Conference on Autonomous Agents and Multiagent Systems)
Bo An,63,2022,AAMAS 2022 (Proc. of the 21st International Conference on Autonomous Agents and Multiagent Systems)
Zinovi Rabinovich,63,2022,AAMAS 2022 (Proc. of the 21st International Conference on Autonomous Agents and Multiagent Systems)
Svetlana Obraztsova,63,2022,AAMAS 2022 (Proc. of the 21st International Conference on Autonomous Agents and Multiagent Systems)
Chai Kiat Yeo,63,2022,AAMAS 2022 (Proc. of the 21st International Conference on Autonomous Agents and Multiagent Systems)
Shifei Ding,64,2024,"IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), Vol. 46, No. 5, May 2024"
Wei Du,64,2024,"IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), Vol. 46, No. 5, May 2024"
Ling Ding,64,2024,"IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), Vol. 46, No. 5, May 2024"
Jian Zhang,64,2024,"IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), Vol. 46, No. 5, May 2024"
Lili Guo,64,2024,"IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), Vol. 46, No. 5, May 2024"
Bo An,64,2024,"IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), Vol. 46, No. 5, May 2024"
Lei Yuan,65,2023,arXiv preprint 2023 (A PREPRINT; arXiv:2305.13936v1)
Tao Jiang,65,2023,arXiv preprint 2023 (A PREPRINT; arXiv:2305.13936v1)
Lihe Li,65,2023,arXiv preprint 2023 (A PREPRINT; arXiv:2305.13936v1)
Feng Chen,65,2023,arXiv preprint 2023 (A PREPRINT; arXiv:2305.13936v1)
Zongzhang Zhang,65,2023,arXiv preprint 2023 (A PREPRINT; arXiv:2305.13936v1)
Yang Yu,65,2023,arXiv preprint 2023 (A PREPRINT; arXiv:2305.13936v1)
Sai Qian Zhang,66,2020,NeurIPS 2020
Jieyu Lin,66,2020,NeurIPS 2020
Qi Zhang,66,2020,NeurIPS 2020
Zejiao Liu*,67,2025,"Not specified (arXiv preprint, arXiv:2511.11393v1 [cs.AI], 14 Nov 2025)"
Yi Li*,67,2025,"Not specified (arXiv preprint, arXiv:2511.11393v1 [cs.AI], 14 Nov 2025)"
Jiali Wang*,67,2025,"Not specified (arXiv preprint, arXiv:2511.11393v1 [cs.AI], 14 Nov 2025)"
Junqi Tu,67,2025,"Not specified (arXiv preprint, arXiv:2511.11393v1 [cs.AI], 14 Nov 2025)"
Yitian Hong,67,2025,"Not specified (arXiv preprint, arXiv:2511.11393v1 [cs.AI], 14 Nov 2025)"
Fangfei Li†,67,2025,"Not specified (arXiv preprint, arXiv:2511.11393v1 [cs.AI], 14 Nov 2025)"
Yang Liu,67,2025,"Not specified (arXiv preprint, arXiv:2511.11393v1 [cs.AI], 14 Nov 2025)"
Toshiharu Sugawara,67,2025,"Not specified (arXiv preprint, arXiv:2511.11393v1 [cs.AI], 14 Nov 2025)"
Yang Tang†,67,2025,"Not specified (arXiv preprint, arXiv:2511.11393v1 [cs.AI], 14 Nov 2025)"
Xuyan Ma,68,2025,"IJCAI 2025 (inferred from anonymous submission URL ""IJCAI2025-FB61""; arXiv preprint dated 30 Apr 2025)"
Yawen Wang,68,2025,"IJCAI 2025 (inferred from anonymous submission URL ""IJCAI2025-FB61""; arXiv preprint dated 30 Apr 2025)"
Junjie Wang,68,2025,"IJCAI 2025 (inferred from anonymous submission URL ""IJCAI2025-FB61""; arXiv preprint dated 30 Apr 2025)"
Xiaofei Xie,68,2025,"IJCAI 2025 (inferred from anonymous submission URL ""IJCAI2025-FB61""; arXiv preprint dated 30 Apr 2025)"
Boyu Wu,68,2025,"IJCAI 2025 (inferred from anonymous submission URL ""IJCAI2025-FB61""; arXiv preprint dated 30 Apr 2025)"
