paper_id,year,venue,n_authors,authors,affiliation,robustness_type,method_paradigm
24,2021,Under review as a conference paper at ICLR 2021,1,Anonymous authors,Not specified,"Adversarial / faulty agent within a cooperative team (one agent makes mistakes or behaves adversarially, i.e., executes its ""worst"" action with some probability); robustness of cooperative MARL (CMARL) teams to agent malfunction.","Game-theoretic equilibrium (correlated equilibrium vs. decentralized equilibrium), team mini-max stochastic game, vanilla adversarial training, latent-variable model with mutual-information regularization (InfoGAN-style), QMIX value decomposition."
25,2022,"UAI 2022 (Proceedings of the 38th Conference on Uncertainty in Artificial Intelligence, PMLR 180:990–1000)",4,Jackson A. Killian; Lily Xu; Arpita Biswas; Milind Tambe,"Computer Science, Harvard University; Center for Research on Computation and Society, Harvard University",Environment/model uncertainty (interval uncertainty over the transition dynamics / arm parameters of restless multi-armed bandits); planning under uncertain estimated dynamics.,"Minimax regret robust planning, double oracle (agent oracle + nature oracle), two-player zero-sum regret game, deep RL (DDLPO), multi-agent RL with centralized critic (MA-DDLPO), Lagrangian relaxation, PPO."
26,2019,NeurIPS 2019,3,Alexander Peysakhovich; Christian Kroer; Adam Lerer,Facebook AI Research; Facebook Core Data Science,"Robustness of counterfactual predictions to violations of modeling assumptions in multi-agent systems — specifically relaxing the equilibrium assumption, point-identification, and correct specification of agents' reward functions (modeled via ε-equilibrium / bounded-rationality slack).","Game-theoretic equilibrium (Bayesian games), partial identification, ε-Bayesian-Nash-equilibrium set bounds (optimistic/pessimistic), fictitious play (first-order learning), worst-case / best-case interval estimation."
27,2024,"AAMAS 2024 (Extended Abstract, 23rd International Conference on Autonomous Agents and Multi-Agent Systems)",3,Ashish Rana; Michael Oesterle; Jannik Brinkmann,"Institute for Enterprise Systems, University of Mannheim, Germany","Robustness to environment perturbations (randomized environment configurations, solution-trajectory blocker objects), changing system dynamics, and sparse-reward scenarios; fault tolerance with respect to reward-shaping pitfalls (positive reward cycle traps)","Reward shaping / potential-based reward shaping (PBRS), problem-agnostic reward distributions (""governance kernels""), Hyperband-like / Successive-Halving hyperparameter search over reward models, governance layer over a stochastic game"
28,2023,Transactions on Machine Learning Research (TMLR) 2023,6,Sihong He; Songyang Han; Sanbao Su; Shuo Han; Shaofeng Zou; Fei Miao,"University of Connecticut (CSE); University of Illinois, Chicago (ECE); University at Buffalo, SUNY (EE)","State / observation uncertainty (adversarial worst-case state perturbations of each agent's observed state, due to sensor errors, noise, missing information, communication issues, or malicious attacks)","Markov game with state perturbation adversaries (one adversary per agent), Nash-equilibrium-structured robust equilibrium, minimax operator / contraction mapping, robust multi-agent Q-learning, robust multi-agent actor-critic (CTDE), policy gradient"
29,2024,Transactions on Machine Learning Research (TMLR) 2024,7,Songyang Han; Sanbao Su; Sihong He; Shuo Han; Haizhao Yang; Shaofeng Zou; Fei Miao,"University of Connecticut (School of Computing); Sony AI; University of Illinois Chicago (ECE); University of Maryland College Park (Math & CS); University at Buffalo, SUNY (EE & CSE)","Adversarial state perturbation / state observation uncertainty in MARL (each agent's state observation perturbed within an admissible, bounded ""neighboring"" set)","State-Adversarial Markov Game (SAMG) formulation, worst-case (minimax/maximin) robustness, game-theoretic solution-concept analysis (existence/non-existence), adversarial actor-critic with Gradient Descent Ascent (GDA)"
30,2023,NeurIPS 2023,9,Alexander Bukharin; Yan Li; Yue Yu; Qingru Zhang; Zhehui Chen; Simiao Zuo; Chao Zhang; Songan Zhang; Tuo Zhao,Georgia Institute of Technology; Google; Microsoft; Ford Motor Company,"Observation/state noise (sensor error, adversarial state perturbations), changing transition dynamics (sim-to-real gap), and malicious/changing actions of a small subset of agents","Adversarial training / adversarial regularization, Lipschitz (smoothness) regularization, Stackelberg (leader-follower) game reformulation, distributionally robust optimization (for the mean-field extension)"
31,2025,"IEEE Transactions on Neural Networks and Learning Systems (TNNLS), Vol. 36, No. 10, October 2025",9,Simin Li; Ruixiao Xu; Jingqiao Xiu; Yuwei Zheng; Pu Feng; Yuqing Ma; Bo An; Yaodong Yang; Xianglong Liu,Beihang University (State Key Laboratory of Complex and Critical Software Environment / Software Development Environment); Nanyang Technological University; National University of Singapore; Peking University; Zhongguancun Laboratory,"Action uncertainty / action perturbation — an unknown subset of cooperative agents takes unpredictable or worst-case adversarial actions (compromised/hacked agents, software/hardware failures); exponentially many threat scenarios from which agents may be perturbed.","Control-as-inference, mutual information regularization (information bottleneck / robust action prior), regularization-as-robustness (robustness without adversarial training), off-policy evaluation, zero-sum worst-case adversary modeling."
32,2023,"Not specified (arXiv:2307.00907v1 [cs.LG], 3 Jul 2023)",5,Weiran Guo; Guanjun Liu; Ziyuan Zhou; Ling Wang; Jiacun Wang,"Department of Computer Sciences, Tongji University, Shanghai, China; College of Transportation Engineering, Tongji University; Department of Computer Science and Software Engineering, Monmouth University, West Long Branch, USA",State/observation perturbation (state-adversarial attacks on an agent's observation input in cooperative MARL),"Adversarial training (max-min worst-case reward), transfer of single-agent robust RL techniques to MARL; gradient-based adversary (FGSM/PGD), policy (hinge-like) regularization, alternating training with learned adversaries (ATLA), policy adversarial actor director (PA-AD)"
33,2025,"IEEE Transactions on Systems, Man, and Cybernetics: Systems, Vol. 55, No. 7, July 2025",6,Weiran Guo; Guanjun Liu; Ziyuan Zhou; Jiacun Wang; Ying Tang; Miaomiao Wang,"School of Computer Science and Technology, Tongji University (Shanghai, China); Department of Computer Science and Software Engineering, Monmouth University (NJ, USA); Department of Electrical and Computer Engineering, Rowan University (NJ, USA); Space Optoelectronic Measurement and Perception Lab, Beijing Institute of Control Engineering (Beijing, China)",State / observation adversarial perturbation (attacks on agents' observations within an ℓ-norm budget ϵ); sensor noise / virtual-to-physical (sim-to-real) gap,"Adversarial training (train-time attack injection), max-min / worst-case return optimization, policy-level adversary (actor-director), zero-sum game between victim and adversarial agents"
34,2023,"Not specified (preprint arXiv:2205.07229v2, 2023; an expanded version was published in IEEE Transactions on Neural Networks and Learning Systems, DOI 10.1109/TNNLS.2023.3278715)",2,Ziyuan Zhou; Guanjun Liu,"Department of Computer Sciences, Tongji University, Shanghai 201804, China","State / observation perturbation (adversarial perturbations on the states observed by agents; multiple agents may be attacked, with the number of perturbed agents unknown and inter-agent influence)","Adversarial training with action-loss regularization, mean-field actor-critic, minimax (worst-case state) optimization, PGD adversary, game-theoretic formulation (state-adversarial stochastic game), policy regularization extending SA-MDP to MARL"
35,2025,"Not specified (arXiv preprint; arXiv:2511.23193v1 [cs.RO], 28 Nov 2025)",4,Yuchen Shi; Huaxin Pei; Yi Zhang; Danya Yao,"Department of Automation, Tsinghua University, Beijing, China; Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University",State/observation perturbation (communication and perception faults causing observed data to deviate from ground truth); fault tolerance for cooperative connected and automated vehicles (CAVs),"Adversarial training (co-trained adversarial fault injection agent), minimax-style perturbation generation within an l∞-norm ball, fault diagnosis + observation reconstruction via temporal (GRU) network, MADDPG/DDPG actor-critic"
37,2025,NeurIPS 2025,7,Songchen Fu; Siang Chen; Shaojing Zhao; Letian Bai; Hong Liang; Ta Li; Yonghong Yan,"Laboratory of Speech and Intelligent Information Processing, Institute of Acoustics, CAS; University of Chinese Academy of Sciences; Department of Electronic Engineering, Tsinghua University",Observation delay / delayed observation (stochastic individual delays affecting different observation components per agent); non-ideal/imperfect observation. Distinguished by the paper from robust MARL's adversarial/system-error observation inaccuracies.,"Delay-free observation reconstruction (compensator), augmented-state POMDP modeling, delay-reconciled critic (CTDE), curriculum learning, knowledge distillation, value decomposition (VDN/QMIX)"
38,2025,AAMAS 2025 (24th International Conference on Autonomous Agents and Multiagent Systems),3,Somnath Hazra; Pallab Dasgupta; Soumyajit Dey,"IIT Kharagpur, India (Hazra, Dey); Synopsys, Santa Clara, USA (Dasgupta)",Environmental stochasticity and return-distribution uncertainty (especially early-training prediction errors); safety constraints / fault tolerance derived from agent terminations (agent deaths / casualties); risk-sensitive learning.,"Distributional RL + value factorization (DIGM), Control Barrier Function (CBF) based safety loss, multi-task gradient manipulation (PCGrad), chance-constrained / scenario-optimization safety verification."
39,2021,"2021 International Symposium on Multi-Robot and Multi-Agent Systems (MRS), IEEE (DOI: 10.1109/MRS50823.2021.9620607)",3,Yuchen Xiao; Xueguang Lyu; Christopher Amato,"Khoury College of Computer Sciences, Northeastern University, Boston, MA, USA","Not adversarial/model-uncertainty robustness in the usual robust-MARL sense. Here ""robustness"" denotes consistently outstanding performance across diverse cooperative domains, i.e., resilience to environmental stochasticity, partial-observability/aliased observations, sparse vs. dense reward structures, and non-stationarity induced by other exploring agents (credit-assignment difficulty).",Multi-agent policy gradient / actor-critic; CTDE; per-agent local action-value critic trained via a centralized critic (centralized-double-critic sampling); advantage baseline for variance reduction; value-decomposition-free centralized critic.
40,2025,"Not specified (arXiv preprint, arXiv:2309.14792v4, 31 Jul 2025)",6,Wenshuai Zhao; Eetu-Aleksi Rantala; Sahar Salimpour; Zhiyuan Li; Joni Pajarinen; Jorge Peña-Queralta,"Aalto University (Dept. of Electrical Engineering and Automation), Finland; Turku Intelligent Embedded and Robotic Systems (TIERS) Lab, University of Turku, Finland; Institute of Robotics and Intelligent Systems, ETH Zurich, Switzerland","External perturbations to state/action, agent failures (agent malfunction), and initial-state disturbances in robotic control; robustness obtained by exploiting local observability",Decentralized MARL with local observations vs. centralized SARL; SARL–MARL policy-gradient equivalence analysis; networked multi-agent MDP with exponential decay property; provable performance-loss bounds; empirical sim-to-real / sim-to-sim validation
41,2023,Under review as a conference paper at ICLR 2023,1,Anonymous authors,Not specified,State/observation perturbation (adversarial attacks on agents' sensor observations in cooperative MARL; noise / jamming attacks),"Adversarial training, alternating attacker-victim training, hybrid (discrete-continuous) action attacker via HyAR, attacker pool / population-based curriculum, optional defense module (perturbation detection + observation reconstruction)"
42,2024,"IEEE Transactions on Smart Grid, Vol. 15, No. 6, November 2024",3,Xu Yang; Haotian Liu; Wenchuan Wu,"State Key Laboratory of Power Systems, Department of Electrical Engineering, Tsinghua University, Beijing, China","State/observation perturbation (measurement noise, communication errors, and cyber-attacks on the agents' observations) in distributed Volt-VAR control","CTDE multi-agent RL with value network factorization, agent-level (multi-head) attention mix network, robust regularizer (KL-divergence smoothing of the policy under bounded observation perturbations), soft actor-critic"
43,2019,"AAAI 2019 (The Thirty-Third AAAI Conference on Artificial Intelligence, AAAI-19)",6,Shihui Li; Yi Wu; Xinyue Cui; Honghua Dong; Fei Fang; Stuart Russell,"Carnegie Mellon University; University of California, Berkeley; Tsinghua University",Robustness to changes in opponents' (other agents') policies between training and testing; adversarial worst-case perturbation of other agents' actions (interpreted as adversarial noise on the dynamics).,"Minimax / worst-case (maximin), adversarial training, deterministic policy gradient (MADDPG extension), centralized critic with decentralized actors, game-theoretic minimax."
44,2025,"ICML 2025 (Proceedings of the 42nd International Conference on Machine Learning, PMLR 267)",4,Sunwoo Lee; Jaebak Hwang; Yonghyeon Jo; Seungyul Han,"Graduate School of Artificial Intelligence, UNIST, Ulsan, South Korea",Coordinated adversarial attacks on cooperative MARL via an action-substitution attack policy (worst-case action perturbation through Qtot minimization); attacks target multiple agents simultaneously (an initial agent plus the group of follow-up agents that respond to it),"Adversarial attack design + adversarial training; LPA-Dec-POMDP formulation, value-based CTDE (VDN/QMIX/QPLEX), credit-assignment-based follow-up group selection (KL divergence), Transformer-based planner for critical attack-step selection"
45,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR 306, 2026)",4,Sunwoo Lee; Mingu Kang; Yonghyeon Jo; Seungyul Han,"Graduate School of Artificial Intelligence, UNIST, Ulsan, South Korea","Interaction-level perturbations — adversarial attacks on observations (occlusion/masking) and actions that break inter-agent coordination; also robustness to non-parametric perturbations (agent-missing / disabled units, reduced initial health)",Adversarial training; information-theoretic (mutual-information) attack design; CTDE value-decomposition (QMIX); Joint-Adversarial Dec-POMDP formulation with value-equivalence to an induced perturbed Dec-POMDP
46,2025,"ICML 2025 (Proceedings of the 42nd International Conference on Machine Learning, PMLR 267)",4,Ziyuan Zhou; Guanjun Liu; MengChu Zhou; Weiran Guo,"School of Computer Science and Technology, Tongji University; School of Information and Electronic Engineering, Zhejiang Gongshang University; Helen and John C. Hartmann Department of Electrical and Computer Engineering, New Jersey Institute of Technology",State/observation perturbation (ϵ-bounded ℓ∞ adversarial perturbations of agents' observations) in cooperative MARL; adversarial training against an observation adversary,Adversarial training with a stochastic adversary; factorized maximum-entropy (soft) MARL; policy-adversarial actor-director decomposition (director + generator); CTDE value decomposition
47,2024,"Not specified (arXiv preprint, arXiv:2401.17405 [cs.MA], 30 Jan 2024)",4,Ziqing Lu; Guanlin Liu; Lifeng Lai; Weiyu Xu,"University of Iowa (Ziqing Lu, Weiyu Xu); University of California, Davis (Guanlin Liu, Lifeng Lai)","Adversarial attack on MARL — a new ""camouflage"" attack, a form of state-perception (observation) attack where attackers change the appearances of objects they control rather than directly manipulating each victim agent's measurements; the resulting delusional observations are correlated / identical across recipient agents.",Optimal adversarial attack design via between-step dynamic programming combined with within-step static constrained optimization (cost-constrained attack); theoretical bounding of the gap to state-perception attacks.
48,2026,"Not specified (arXiv:2508.09275v2 [cs.LG], 21 Jan 2026)",3,Amine Andam; Jamal Bentahar; Mustapha Hedabou,Mohammed VI Polytechnic University; Khalifa University; Concordia University,"Test-time adversarial observation perturbation attacks against cooperative MARL (c-MARL); black-box and ""free"" (no-access) attacks; constrained adversary that can only collect/perturb observations of deployed agents.",Adversarial attacks (offensive robustness probing); misalignment-based perturbation; PGD/FGSM optimization of an alignment-prediction network; orthogonal/structured perturbations via partial Hadamard matrices; targeted agent selection.
49,2025,IEEE ICPADS 2025 (31st International Conference on Parallel and Distributed Systems),6,Bang Zhang; Wenjian Luo; Kesheng Chen; Yujiang Liu; Shuhan Qi; Xuan Wang,"Guangdong Provincial Key Laboratory of Novel Security Intelligence Technologies, Institute of Cyberspace Security, School of Computer Science and Technology, Harbin Institute of Technology, Shenzhen, Guangdong, China","State/observation perturbation via adversarial attacks on agents' observations in cooperative MARL; black-box, sparse (low perturbation-step) attacks under strict partial-observation constraints",Adversarial attack / robustness testing (black-box); victim-agent and attack-time selection via Q-value difference (ΔQ); FGSM-style perturbation generation with zeroth-order gradient estimation (query-based) and substitute-model transferability attacks
50,2026,"Not specified (arXiv preprint, arXiv:2605.13170v1 [cs.LG], 13 May 2026)",3,Maxwell Standen; Junae Kim; Claudia Szabo,"The University of Adelaide (Adelaide, Australia); DST Group (Australia)",Communication attacks — single-victim communication perturbation attacks against multi-agent communications (inter-agent message interception and L2-bounded perturbation),White-box adversarial machine learning (AML); gradient-based perturbation crafting (FGM/PGD); Jacobian-based saliency (JSMA-inspired) for message/victim/timestep selection; novel adversarial loss functions; attack tempo functions
