count,title,year,arxiv,probable_duplicate,nearest_set_id,nearest_score,citing_papers,rep_raw
1,Marnet: Backdoor attacks against cooperative multi-agent reinforcement learning,2022,,False,48,86.4,103,"Chen Y, Zheng Z, Gong X (2022) Marnet: Backdoor attacks against cooperative multi-agent reinforcement learning. IEEE Trans Dependable Secur Comput"
1,Communication-efficient and resilient distributed deep reinforcement learning for multi-agent systems,2024,,False,67,77.5,78,"J. Yao and X. Gong, ""Communication-efficient and resilient distributed deep reinforcement learning for multi-agent systems,"" in 2024 IEEE International Conference on Unmanned Systems (ICUS), 2024, pp. 1521-1526."
1,Security analysis of poisoning attacks against multi-agent reinforcement learning,2021,,False,54,76.8,103,"Xie Z, Xiang Y, Li Y, Zhao S, Tong E, Niu W, Liu J, Wang J (2021) Security analysis of poisoning attacks against multi-agent reinforcement learning. In: International Conference on Algorithms and Architectures for Parallel Processing, pp. 660-675 . Springer"
1,Robustness evaluation of multi-agent reinforcement learning algorithms using gnas,2023,,False,104,75.7,103,"Zhang X, Zhang W, Gong Y, Yang L, Zhang J, Chen Z, He S (2023) Robustness evaluation of multi-agent reinforcement learning algorithms using gnas"
1,Adversarial attacks on multi-agent communication,2021,,False,47,75.0,64,"T. James, W. Tsunhsuan, M. Sivabalan, R. Mengye, and U. Raquel, ""Adversarial attacks on multi-agent communication,"" in Proc. IEEE/CVF 18th Int. Conf. Comput. Vis., Montreal, Canada, 2021, pp. 7768-7777."
1,Safe multi-agent reinforcement learning for wireless applications against adversarial communications,2024,,False,110,74.4,67,"Z. Lv, L. Xiao, Y. Chen, H. Chen, and X. Ji, ""Safe multi-agent reinforcement learning for wireless applications against adversarial communications,"" IEEE Transactions on Information Forensics and Security, vol. 19, pp. 6824-6839, 2024."
1,Towards resilience for multi-agent qd-learning,2021,,False,22,73.7,78,"Y. Xie, S. Mou, and S. Sundaram, ""Towards resilience for multi-agent qd-learning,"" in 2021 60th IEEE Conference on Decision and Control (CDC), 2021, pp. 1250-1255."
1,Attacking cooperative multi-agent reinforcement learning by adversarial minority influence,2025,,False,52,72.9,49,"S. Li, J. Guo, J. Xiu, Y. Zheng, P. Feng, X. Yu, J. Wang, A. Liu, Y. Yang, B. An et al., ""Attacking cooperative multi-agent reinforcement learning by adversarial minority influence,"" Neural Networks, p. 107747, 2025."
1,The emergence of ad- versarial communication in multi-agent reinforcement learn- ing,2020,,False,67,72.7,60,"The emergence of ad- versarial communication in multi-agent reinforcement learn- ing. In Conference on Robot Learning, 1394-1414. PMLR. Chu, T.; Chinchali, S.; and Katti, S. 2020."
1,Adversarial attacks on multi-agent com- munication,1992,,False,47,72.4,60,"Adversarial attacks on multi-agent com- munication. In Proceedings of the IEEE/CVF International Conference on Computer Vision, 7768-7777. Williams, R. J. 1992."
1,Communication-robust multi-agent learning by adaptable auxiliary multi-agent adversary generation,2024,,False,61,72.3,67,"L. Yuan, F. Chen, Z. Zhang, and Y. Yu, ""Communication-robust multi-agent learning by adaptable auxiliary multi-agent adversary generation,"" Frontiers of Computer Science, vol. 18, no. 6, p. 186331, 2024."
1,Resilient multiagent reinforcement learning with function approxi- mation,2024,,False,7,71.6,78,"L. Ye, M. Figura, Y. Lin, M. Pal, P. Das, J. Liu, and V. Gupta, ""Resilient multiagent reinforcement learning with function approxi- mation,"" IEEE Transactions on Automatic Control, vol. 69, no. 12, pp. 8497-8512, 2024."
1,Toward resilient multi-agent actor-critic algorithms for distributed reinforcement learning,2020,,False,39,70.6,78,"Y. Lin, S. Gade, R. Sandhu, and J. Liu, ""Toward resilient multi-agent actor-critic algorithms for distributed reinforcement learning,"" in 2020 American Control Conference (ACC), 2020, pp. 3953-3958."
1,Robust reward-free actor-critic for cooperative multiagent reinforcement learning,2024,,False,39,70.0,78,"Q. Lin and Q. Ling, ""Robust reward-free actor-critic for cooperative multiagent reinforcement learning,"" IEEE Transactions on Neural Networks and Learning Systems, vol. 35, no. 12, pp. 17 318-17 329, 2024."
1,Robust lane change decision for autonomous vehicles in mixed traffic: A safety-aware multi-agent adversarial reinforcement learning approach,2022,,False,110,69.1,53,"Robust lane change decision for autonomous vehicles in mixed traffic: A safety-aware multi-agent adversarial reinforcement learning approach. Transportation Research Part C: Emerging Technologies 172, 105005. doi:10.1016/ j.trc.2025.105005. Wang, Y., Sagawa, R., 2022."
1,Robust multi-agent Q-learning in cooperative games with adversaries,2021,,False,74,68.8,31,"E. Nisioti, D. Bloembergen, and M. Kaisers, ""Robust multi-agent Q-learning in cooperative games with adversaries,"" in Proc. AAAI Workshop Reinforcement Learn. Games, Feb. 2021. [Online]. Available: https://aaai.org/ocs/index.php/WS/AAAIW21/paper/view/17731"
1,An overview on multi-agent consensus under adversarial attacks,2019,,False,47,67.8,60,"An overview on multi-agent consensus under adversarial attacks. Annual Re- views in Control. Li, S.; Wu, Y.; Cui, X.; Dong, H.; Fang, F.; and Russell, S. 2019."
1,Adversarial Ma- chine Learning Attacks and Defences in Multi-Agent Rein- forcement Learning,2018,,False,45,66.7,145,"Adversarial Ma- chine Learning Attacks and Defences in Multi-Agent Rein- forcement Learning. ACM Computing Surveys, 57(5): 1-35. Sutton, R. S.; and Barto, A. G. 2018."
1,Less is more: Robust robot learning via partially observable multi-agent reinforcement learning,2023,2309.1479,False,43,64.8,51,"W. Zhao, E.-A. Rantala, J. Pajarinen, and J. P. Queralta, ""Less is more: Robust robot learning via partially observable multi-agent reinforcement learning,"" 2023, arXiv:2309.1479."
1,Adaptive fault-tolerant tracking control for discrete-time multiagent systems via reinforcement learning algorithm,2021,,False,104,62.9,135,"H. Li, Y. Wu, and M. Chen, ""Adaptive fault-tolerant tracking control for discrete-time multiagent systems via reinforcement learning algorithm,"" IEEE Trans. Cybern., vol. 51, no. 3, pp. 1163-1174, Mar. 2021."
1,Byzantine- resilient multiagent distributed optimization under redundancy,2025,,False,78,62.1,78,"Y. Zhai, Z.-W. Liu, D. Yue, S. Hu, C. Deng, and L. Ye, ""Byzantine- resilient multiagent distributed optimization under redundancy,"" IEEE Transactions on Control of Network Systems, vol. 12, no. 4, pp. 2554- 2567, 2025."
1,Distributed resilience-aware control in multi-robot networks,2025,,False,78,61.7,78,"--, ""Distributed resilience-aware control in multi-robot networks,"" in 2025 IEEE 64th Conference on Decision and Control (CDC), 2025, pp. 3868-3875."
1,Towards a fault-tolerant multi-agent system architecture,2000,,False,77,61.5,77,"S. Kumar and P. R. Cohen, ""Towards a fault-tolerant multi-agent system architecture,"" in Proceedings of the fourth international conference on Autonomous agents, 2000, pp. 459-466."
1,Distributed robust optimization for multi-agent systems with guaranteed finite-time convergence,2023,2309.01201,False,18,61.5,126,"Xunhao Wu and Jun Fu. ""Distributed robust optimization for multi-agent systems with guaranteed finite-time convergence"". In: arXiv preprint arXiv:2309.01201 (2023)."
1,"N., Shah, A., Carroll, M., Seshia, S., Russell, S. J., and Dennis, M. Robust and diverse multi-agent learning via rational policy gradient",2026,,False,43,61.2,13,"Lauffer, N., Shah, A., Carroll, M., Seshia, S., Russell, S. J., and Dennis, M. Robust and diverse multi-agent learning via rational policy gradient. Advances in Neural Informa- tion Processing Systems, 38:136911-136939, 2026."
1,Adaptive frequency and delay compen- sation in multi-agent systems: Enhancing communication efficiency and robustness,2024,,False,75,59.6,67,"J. Wang, Y. Li, and Y. Tang, ""Adaptive frequency and delay compen- sation in multi-agent systems: Enhancing communication efficiency and robustness,"" in International Conference on Cyberspace Simula- tion and Evaluation. Springer, 2024, pp. 182-196."
1,A survey on fault tolerant multi agent system,2016,,False,77,58.5,77,"Y. Arfat and F. E. Eassa, ""A survey on fault tolerant multi agent system,"" IJ Inf. Technol. Comput. Sci, vol. 9, pp. 39-48, 2016."
1,On the hard- ness of decentralized multi-agent policy evaluation under byzantine attacks,2024,,False,15,58.4,78,"Hairi, M. Fang, Z. Zhang, A. Velasquez, and J. Liu, ""On the hard- ness of decentralized multi-agent policy evaluation under byzantine attacks,"" in 2024 International Symposium on Modeling and Opti- mization in Mobile, Ad Hoc, and Wireless Networks (WiOpt), 2024, pp. 257-264."
1,Adversarial policy gradient for alternating markov games,2014,,False,44,57.4,43,"Adversarial policy gradient for alternating markov games. Goodfellow, I.; Pouget-Abadie, J.; Mirza, M.; Xu, B.; Warde- Farley, D.; Ozair, S.; Courville, A.; and Bengio, Y. 2014."
1,Large-scale mean-field federated learning for detection and defense: A byzantine robustness approach in IoT,2024,,False,142,55.9,142,"K. Sun, L. Liu, Q. Pan, J. Li, and J. Wu, ""Large-scale mean-field federated learning for detection and defense: A byzantine robustness approach in IoT,""IEEEInternetThingsJ.,vol.11,no.22,pp.36370-36383,Nov.2024."
1,Fault-tolerant consensus of leader-following multi-agent systems with jointly connected topologies,2023,,False,66,55.5,77,"Y. Li, F. Wang, M. Sader, Z. Liu, and Z. Chen, ""Fault-tolerant consensus of leader-following multi-agent systems with jointly connected topologies,"" Transactions of the Institute of Measurement and Control, vol. 45, no. 9, pp. 1747-1754, 2023."
1,Byzantine-resilient multiagent optimization,2021,,False,78,54.4,78,"L. Su and N. H. Vaidya, ""Byzantine-resilient multiagent optimization,"" IEEE Transactions on Automatic Control, vol. 66, no. 5, pp. 2227- 2233, 2021."
1,Learn- ing markov games with adversarial opponents: Effi- cient algorithms and fundamental limits,2022,2203.06803,False,30,54.0,20,"Qinghua Liu, Yuanhao Wang, and Chi Jin, ""Learn- ing markov games with adversarial opponents: Effi- cient algorithms and fundamental limits,"" arXiv preprint arXiv:2203.06803, 2022."
1,Fault-tolerant cooperative control of multiagent systems: A survey of trends and methodologies,2020,,False,99,53.7,77,"H. Yang, Q.-L. Han, X. Ge, L. Ding, Y. Xu, B. Jiang, and D. Zhou, ""Fault-tolerant cooperative control of multiagent systems: A survey of trends and methodologies,"" IEEE Transactions on Industrial Informatics, vol. 16, no. 1, pp. 4-17, 2020."
1,Data poisoning to fake a nash equilibria for markov games,2024,,False,11,53.1,3,"Wu, Y., McMahan, J., Zhu, X., and Xie, Q. (2024). Data poisoning to fake a nash equilibria for markov games. In Proceedings of the AAAI Conference on Artificial Intelligence, volume 38, pages 15979-15987."
1,Resilient dis- tributed optimization for multiagent cyberphysical systems,2025,,False,33,52.9,78,"M. Yemini, A. Nedi´c, A. J. Goldsmith, and S. Gil, ""Resilient dis- tributed optimization for multiagent cyberphysical systems,"" IEEE Transactions on Automatic Control, vol. 70, no. 6, pp. 3952-3967, 2025."
