src,dst,src_title,dst_title,how
39,43,Local Advantage Actor-Critic for Robust MA Deep RL,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
41,34,Robust MARL against Adversaries on Observation,RoMFAC - Robust Mean-Field Actor-Critic vs State Perturbations,exact
41,43,Robust MARL against Adversaries on Observation,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
41,59,Robust MARL against Adversaries on Observation,On the Robustness of Cooperative MARL,exact
41,85,Robust MARL against Adversaries on Observation,Resilient MARL with Adversarial Value Decomposition,exact
42,118,Attention-Enhanced MARL vs Observation Perturbations (Volt-VAR),Robust Regional Coordination of Inverter-Based Volt-Var Control,exact
44,2,Wolfpack Adversarial Attack for Robust MARL,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
44,20,Wolfpack Adversarial Attack for Robust MARL,Data-Driven Robust MARL,exact
44,28,Wolfpack Adversarial Attack for Robust MARL,Robust MARL with State Uncertainty,exact
44,29,Wolfpack Adversarial Attack for Robust MARL,What is the Solution for State-Adversarial MARL?,exact
44,30,Wolfpack Adversarial Attack for Robust MARL,Robust MARL via Adversarial Regularization,exact
44,34,Wolfpack Adversarial Attack for Robust MARL,RoMFAC - Robust Mean-Field Actor-Critic vs State Perturbations,fuzzy
44,43,Wolfpack Adversarial Attack for Robust MARL,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
44,51,Wolfpack Adversarial Attack for Robust MARL,Adversarial Attacks on MADRL in Continuous Action Space,exact
44,57,Wolfpack Adversarial Attack for Robust MARL,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,exact
44,59,Wolfpack Adversarial Attack for Robust MARL,On the Robustness of Cooperative MARL,exact
44,61,Wolfpack Adversarial Attack for Robust MARL,Certifiably Robust Policy Learning vs Adversarial Communication,exact
44,63,Wolfpack Adversarial Attack for Robust MARL,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
44,85,Wolfpack Adversarial Attack for Robust MARL,Resilient MARL with Adversarial Value Decomposition,exact
44,99,Wolfpack Adversarial Attack for Robust MARL,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
45,20,Interaction-Breaking Adversarial Learning Framework for Robust MARL,Data-Driven Robust MARL,exact
45,28,Interaction-Breaking Adversarial Learning Framework for Robust MARL,Robust MARL with State Uncertainty,exact
45,29,Interaction-Breaking Adversarial Learning Framework for Robust MARL,What is the Solution for State-Adversarial MARL?,exact
45,30,Interaction-Breaking Adversarial Learning Framework for Robust MARL,Robust MARL via Adversarial Regularization,exact
45,31,Interaction-Breaking Adversarial Learning Framework for Robust MARL,MIR2 - Mutual Information Regularization,exact
45,43,Interaction-Breaking Adversarial Learning Framework for Robust MARL,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
45,44,Interaction-Breaking Adversarial Learning Framework for Robust MARL,Wolfpack Adversarial Attack for Robust MARL,exact
45,46,Interaction-Breaking Adversarial Learning Framework for Robust MARL,Robust MARL with Stochastic Adversary,exact
45,57,Interaction-Breaking Adversarial Learning Framework for Robust MARL,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,exact
45,59,Interaction-Breaking Adversarial Learning Framework for Robust MARL,On the Robustness of Cooperative MARL,exact
45,61,Interaction-Breaking Adversarial Learning Framework for Robust MARL,Certifiably Robust Policy Learning vs Adversarial Communication,exact
45,63,Interaction-Breaking Adversarial Learning Framework for Robust MARL,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
45,85,Interaction-Breaking Adversarial Learning Framework for Robust MARL,Resilient MARL with Adversarial Value Decomposition,exact
45,99,Interaction-Breaking Adversarial Learning Framework for Robust MARL,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
45,100,Interaction-Breaking Adversarial Learning Framework for Robust MARL,SMACv2 - Improved Benchmark for Cooperative MARL,exact
46,30,Robust MARL with Stochastic Adversary,Robust MARL via Adversarial Regularization,exact
46,31,Robust MARL with Stochastic Adversary,MIR2 - Mutual Information Regularization,exact
46,32,Robust MARL with Stochastic Adversary,Enhancing Robustness of QMIX vs State-Adversarial Attacks,exact
46,33,Robust MARL with Stochastic Adversary,Robust Training in MADRL against Optimal Adversary,exact
46,43,Robust MARL with Stochastic Adversary,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
46,61,Robust MARL with Stochastic Adversary,Certifiably Robust Policy Learning vs Adversarial Communication,exact
46,98,Robust MARL with Stochastic Adversary,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
46,135,Robust MARL with Stochastic Adversary,Robust MARL via Adversarial Domain Randomization for Dual-UAV,exact
48,59,Constrained Black-Box Attacks against MARL,On the Robustness of Cooperative MARL,exact
48,100,Constrained Black-Box Attacks against MARL,SMACv2 - Improved Benchmark for Cooperative MARL,exact
49,29,Black-Box Adversarial Robustness Testing w- Partial Observation,What is the Solution for State-Adversarial MARL?,exact
49,51,Black-Box Adversarial Robustness Testing w- Partial Observation,Adversarial Attacks on MADRL in Continuous Action Space,exact
49,59,Black-Box Adversarial Robustness Testing w- Partial Observation,On the Robustness of Cooperative MARL,exact
49,98,Black-Box Adversarial Robustness Testing w- Partial Observation,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
49,99,Black-Box Adversarial Robustness Testing w- Partial Observation,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
50,59,Finding the Weakest Link - Attack vs MA Communications,On the Robustness of Cooperative MARL,exact
50,61,Finding the Weakest Link - Attack vs MA Communications,Certifiably Robust Policy Learning vs Adversarial Communication,exact
50,63,Finding the Weakest Link - Attack vs MA Communications,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
50,66,Finding the Weakest Link - Attack vs MA Communications,Succinct & Robust MA Communication w- Temporal Message Control,exact
51,28,Adversarial Attacks on MADRL in Continuous Action Space,Robust MARL with State Uncertainty,exact
51,29,Adversarial Attacks on MADRL in Continuous Action Space,What is the Solution for State-Adversarial MARL?,exact
51,32,Adversarial Attacks on MADRL in Continuous Action Space,Enhancing Robustness of QMIX vs State-Adversarial Attacks,exact
51,59,Adversarial Attacks on MADRL in Continuous Action Space,On the Robustness of Cooperative MARL,exact
51,98,Adversarial Attacks on MADRL in Continuous Action Space,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
51,99,Adversarial Attacks on MADRL in Continuous Action Space,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
51,135,Adversarial Attacks on MADRL in Continuous Action Space,Robust MARL via Adversarial Domain Randomization for Dual-UAV,exact
52,58,Adversarial DRL Attacks on MA Cooperative Driving,Adversarial DRL for Robust MA Autonomous Driving Policies,exact
56,30,Heterogeneous MA Adversarial RL in IsaacLab,Robust MARL via Adversarial Regularization,exact
57,1,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,Robust MARL with Model Uncertainty,exact
57,43,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
57,59,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,On the Robustness of Cooperative MARL,exact
57,63,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
57,85,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,Resilient MARL with Adversarial Value Decomposition,exact
57,99,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
60,1,Robust Communicative MARL with Active Defense (ADMAC),Robust MARL with Model Uncertainty,exact
60,28,Robust Communicative MARL with Active Defense (ADMAC),Robust MARL with State Uncertainty,exact
60,43,Robust Communicative MARL with Active Defense (ADMAC),Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
60,61,Robust Communicative MARL with Active Defense (ADMAC),Certifiably Robust Policy Learning vs Adversarial Communication,exact
60,62,Robust Communicative MARL with Active Defense (ADMAC),Certified Policy Smoothing for Cooperative MARL,exact
60,63,Robust Communicative MARL with Active Defense (ADMAC),Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
61,63,Certifiably Robust Policy Learning vs Adversarial Communication,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
61,85,Certifiably Robust Policy Learning vs Adversarial Communication,Resilient MARL with Adversarial Value Decomposition,exact
62,59,Certified Policy Smoothing for Cooperative MARL,On the Robustness of Cooperative MARL,exact
63,66,Mis-spoke or Mis-lead - Robustness in Communicative MARL,Succinct & Robust MA Communication w- Temporal Message Control,exact
64,61,Robust MA Communication with Graph Information Bottleneck,Certifiably Robust Policy Learning vs Adversarial Communication,exact
64,63,Robust MA Communication with Graph Information Bottleneck,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
65,1,Robust Cooperative MARL via Multi-View Message Certification,Robust MARL with Model Uncertainty,exact
65,24,Robust Cooperative MARL via Multi-View Message Certification,Robust MARL Driven by Correlated Equilibrium,exact
65,34,Robust Cooperative MARL via Multi-View Message Certification,RoMFAC - Robust Mean-Field Actor-Critic vs State Perturbations,exact
65,43,Robust Cooperative MARL via Multi-View Message Certification,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
65,59,Robust Cooperative MARL via Multi-View Message Certification,On the Robustness of Cooperative MARL,exact
65,63,Robust Cooperative MARL via Multi-View Message Certification,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
65,66,Robust Cooperative MARL via Multi-View Message Certification,Succinct & Robust MA Communication w- Temporal Message Control,exact
65,72,Robust Cooperative MARL via Multi-View Message Certification,Robust MARL with Social Empowerment (Coordination & Communication),exact
65,99,Robust Cooperative MARL via Multi-View Message Certification,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
66,59,Succinct & Robust MA Communication w- Temporal Message Control,On the Robustness of Cooperative MARL,exact
67,28,Robust and Efficient Communication in MARL,Robust MARL with State Uncertainty,exact
67,31,Robust and Efficient Communication in MARL,MIR2 - Mutual Information Regularization,exact
67,46,Robust and Efficient Communication in MARL,Robust MARL with Stochastic Adversary,exact
67,57,Robust and Efficient Communication in MARL,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,exact
67,59,Robust and Efficient Communication in MARL,On the Robustness of Cooperative MARL,exact
67,60,Robust and Efficient Communication in MARL,Robust Communicative MARL with Active Defense (ADMAC),exact
67,61,Robust and Efficient Communication in MARL,Certifiably Robust Policy Learning vs Adversarial Communication,exact
67,62,Robust and Efficient Communication in MARL,Certified Policy Smoothing for Cooperative MARL,exact
67,63,Robust and Efficient Communication in MARL,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
67,64,Robust and Efficient Communication in MARL,Robust MA Communication with Graph Information Bottleneck,exact
67,66,Robust and Efficient Communication in MARL,Succinct & Robust MA Communication w- Temporal Message Control,exact
67,71,Robust and Efficient Communication in MARL,Effective Communications - Joint Learning over Noisy Channels,exact
67,75,Robust and Efficient Communication in MARL,IBGP - Imperfect Byzantine Generals for Zero-Shot Robustness,exact
67,91,Robust and Efficient Communication in MARL,LLM-based MARL - Current and Future Directions,exact
67,99,Robust and Efficient Communication in MARL,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
67,135,Robust and Efficient Communication in MARL,Robust MARL via Adversarial Domain Randomization for Dual-UAV,exact
68,61,Robust MA Comm via Decentralization-Oriented Adversarial Training,Certifiably Robust Policy Learning vs Adversarial Communication,exact
68,63,Robust MA Comm via Decentralization-Oriented Adversarial Training,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
72,43,Robust MARL with Social Empowerment (Coordination & Communication),Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
73,28,Byzantine Robust Cooperative MARL as a Bayesian Game,Robust MARL with State Uncertainty,exact
73,29,Byzantine Robust Cooperative MARL as a Bayesian Game,What is the Solution for State-Adversarial MARL?,exact
73,43,Byzantine Robust Cooperative MARL as a Bayesian Game,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
73,59,Byzantine Robust Cooperative MARL as a Bayesian Game,On the Robustness of Cooperative MARL,exact
73,63,Byzantine Robust Cooperative MARL as a Bayesian Game,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
73,85,Byzantine Robust Cooperative MARL as a Bayesian Game,Resilient MARL with Adversarial Value Decomposition,exact
73,98,Byzantine Robust Cooperative MARL as a Bayesian Game,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
74,30,Bayesian Robust Cooperative MARL Against Unknown Adversaries,Robust MARL via Adversarial Regularization,exact
74,43,Bayesian Robust Cooperative MARL Against Unknown Adversaries,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
74,44,Bayesian Robust Cooperative MARL Against Unknown Adversaries,Wolfpack Adversarial Attack for Robust MARL,exact
74,57,Bayesian Robust Cooperative MARL Against Unknown Adversaries,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,exact
74,59,Bayesian Robust Cooperative MARL Against Unknown Adversaries,On the Robustness of Cooperative MARL,exact
74,73,Bayesian Robust Cooperative MARL Against Unknown Adversaries,Byzantine Robust Cooperative MARL as a Bayesian Game,exact
74,85,Bayesian Robust Cooperative MARL Against Unknown Adversaries,Resilient MARL with Adversarial Value Decomposition,exact
75,60,IBGP - Imperfect Byzantine Generals for Zero-Shot Robustness,Robust Communicative MARL with Active Defense (ADMAC),exact
75,61,IBGP - Imperfect Byzantine Generals for Zero-Shot Robustness,Certifiably Robust Policy Learning vs Adversarial Communication,exact
75,63,IBGP - Imperfect Byzantine Generals for Zero-Shot Robustness,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
76,1,Fault-Tolerant MA Learning w- Adversarial Budget Constraints,Robust MARL with Model Uncertainty,exact
76,43,Fault-Tolerant MA Learning w- Adversarial Budget Constraints,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
76,73,Fault-Tolerant MA Learning w- Adversarial Budget Constraints,Byzantine Robust Cooperative MARL as a Bayesian Game,exact
76,98,Fault-Tolerant MA Learning w- Adversarial Budget Constraints,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
77,43,Towards Fault Tolerance in MARL,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
77,73,Towards Fault Tolerance in MARL,Byzantine Robust Cooperative MARL as a Bayesian Game,exact
79,28,Decentralized Byzantine-Resilient MARL w- Reward Machines,Robust MARL with State Uncertainty,exact
79,43,Decentralized Byzantine-Resilient MARL w- Reward Machines,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
79,63,Decentralized Byzantine-Resilient MARL w- Reward Machines,Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
79,73,Decentralized Byzantine-Resilient MARL w- Reward Machines,Byzantine Robust Cooperative MARL as a Bayesian Game,exact
79,85,Decentralized Byzantine-Resilient MARL w- Reward Machines,Resilient MARL with Adversarial Value Decomposition,exact
80,63,Trust-Based Information Filtering for Decentralized MARL (UAV),Mis-spoke or Mis-lead - Robustness in Communicative MARL,exact
85,43,Resilient MARL with Adversarial Value Decomposition,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
88,87,AdvEvo-MARL - Safety via Adversarial Co-Evolution,Evo-MARL - Co-Evolutionary MARL for Internalized Safety,exact
92,1,Partial Action Replacement - Distribution Shift in Offline MARL,Robust MARL with Model Uncertainty,exact
93,1,Sample-Efficient Robust Offline Self-Play (model-based),Robust MARL with Model Uncertainty,exact
93,2,Sample-Efficient Robust Offline Self-Play (model-based),Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
93,86,Sample-Efficient Robust Offline Self-Play (model-based),Robust Multi-Agent Bandits over Undirected Graphs,exact
93,98,Sample-Efficient Robust Offline Self-Play (model-based),Robustness Testing for MARL - State Perturbations on Critical Agents,exact
94,28,Robust Gymnasium - Unified Modular Benchmark for Robust RL,Robust MARL with State Uncertainty,exact
94,29,Robust Gymnasium - Unified Modular Benchmark for Robust RL,What is the Solution for State-Adversarial MARL?,exact
94,86,Robust Gymnasium - Unified Modular Benchmark for Robust RL,Robust Multi-Agent Bandits over Undirected Graphs,exact
94,98,Robust Gymnasium - Unified Modular Benchmark for Robust RL,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
95,100,StarCraft+ - Benchmarking MA Algorithms in Adversary Paradigm,SMACv2 - Improved Benchmark for Cooperative MARL,exact
